EventNameEnglish,EventNameFrench,PollingDate,ElectoralDistrictNumber,ElectoralDistrictNameEnglish,ElectoralDistrictNameFrench,NumberOfCandidates,NumberOfNamesRegistered,NumberOfNamesRevised,TotalNumberOfNames,RuralPollingPlaces,UrbanPollingPlaces,AdvancePollingPlaces,ValidBallotsFromBoxes,RejectedBallotsFromBoxes,UnmarkedBallotsFromBoxes,DeclinedBallots,VoterTurnoutTotal,VoterTurnoutPercentageOfList
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,2020-Feb-27,76,Orléans,Orléans,8,110802,9,110811,0,52,5,25502,42,29,8,25581,0.2308525326907978449
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,2020-Feb-27,80,Ottawa—Vanier,Ottawa—Vanier,8,101108,-392,100716,0,108,5,19923,46,54,10,20033,0.1989058342269351443
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,1,Ajax,Ajax,8,94295,540,94835,0,37,4,37687,120,74,15,37896,0.3995993040544102915
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,2,Algoma—Manitoulin,Algoma—Manitoulin,6,57522,554,58076,0,92,17,24499,116,39,9,24663,0.4246676768372477443
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,3,Aurora—Oak Ridges—Richmond Hill,Aurora—Oak Ridges—Richmond Hill,7,85219,490,85709,0,49,5,32559,108,54,14,32735,0.3819318857996243101
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,4,Barrie—Innisfil,Barrie—Innisfil,8,92471,-334,92137,0,35,5,36272,105,70,53,36500,0.3961492125856062168
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,5,Barrie—Springwater—Oro-Medonte,Barrie—Springwater—Oro-Medonte,6,84642,308,84950,0,59,8,39500,118,65,27,39710,0.4674514420247204237
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,6,Bay of Quinte,Bay of Quinte,6,95164,-312,94852,0,78,9,43366,80,60,39,43545,0.4590836250158141104
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,7,Beaches—East York,Beaches—East York,9,82912,-633,82279,0,36,5,40648,71,39,33,40791,0.4957644113321746739
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,8,Brampton Centre,Brampton Centre,5,66997,96,67093,0,42,5,24463,75,47,17,24602,0.3666850491109355670
